Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
44,1601592,88,2917000,157200,80,66
145,1601964,160,2917000,157200,151,75
246,1602116,256,2917000,157200,251,64
347,1603060,356,2917000,157200,353,64
448,1604848,460,2917000,157200,456,71
549,1607944,568,2917000,157200,560,75
649,1606400,665,2917000,157200,656,75
750,1604012,770,2917000,157200,756,69
850,1606320,859,2917000,157200,856,70
951,1606656,977,2917000,157200,970,72
1051,1607544,1063,2917000,157200,1058,67
1152,1609140,1160,2068000,0,1157,65
1252,1609140,1261,2068000,0,1258,63
1353,1609264,1362,2068000,0,1359,73
1454,1609512,1462,2068000,0,1460,63
1555,1609440,1565,2068000,0,1562,66
1656,1609504,1666,2068000,0,1663,68
1757,1610204,1775,2068000,0,1771,71
1858,1610328,1867,2068000,0,1864,73
1959,1610264,1968,2068000,0,1965,64
2059,1610032,2070,2068000,0,2067,70
2160,1610156,2174,2084000,0,2170,76
2263,1610652,2272,2084000,0,2269,78
2361,1610652,2371,2084000,0,2369,82
2461,1609908,2470,2084000,0,2467,81
2564,1609908,2573,2084000,0,2569,84
2664,1609876,2673,2084000,0,2670,81
2765,1610000,2776,2084000,0,2773,85
2865,1609692,2874,2084000,0,2871,85
2966,1609340,2981,2084000,0,2977,88
3073,1609608,3080,2084000,0,3077,87
3173,1609668,3182,3220000,460200,3179,86
3274,1609688,3281,3220000,460200,3278,83
3374,1613660,3382,3220000,460200,3379,84
3474,1613784,3482,3220000,460200,3479,86
3575,1613736,3585,3220000,460200,3582,91
3676,1613488,3684,3220000,460200,3681,100
3778,1613424,3794,3220000,460200,3785,100
3878,1613472,3886,3220000,460200,3883,86
3979,1613364,3989,3220000,460200,3985,68
4080,1613736,4089,3220000,460200,4085,67
4181,1613604,4190,3309000,549200,4187,75
4282,1613560,4291,3309000,549200,4288,69
4383,1613768,4391,3309000,549200,4389,67
4483,1613768,4494,3309000,549200,4489,65
4584,1612604,4601,3309000,549200,4598,65
4685,1612668,4697,3309000,549200,4694,65
4784,1612540,4794,3309000,549200,4791,65
4885,1612600,4900,3309000,549200,4897,64
4985,1612836,4997,3309000,549200,4994,66
5086,1613084,5099,3309000,549200,5096,80
5186,1613220,5223,2285000,0,5212,81
5287,1613288,5297,2285000,0,5294,91
5387,1613068,5396,2285000,0,5393,97
5489,1612936,5499,2285000,0,5496,84
5589,1612904,5598,2285000,0,5595,81
5690,1611800,5700,2285000,0,5697,85
5790,1611428,5800,2285000,0,5796,90
5891,1610560,5903,2285000,0,5900,84
5991,1610560,6001,2285000,0,5998,78
6092,1610560,6115,3265000,505200,6109,78
6192,1610560,6204,3265000,505200,6200,82
6292,1610560,6306,3265000,505200,6303,80
6393,1610560,6404,3265000,505200,6398,79
6493,1610932,6506,3265000,505200,6504,100
6593,1610768,6602,3265000,505200,6599,85
6694,1610960,6718,3265000,505200,6712,84
6794,1610572,6805,3265000,505200,6799,90
6895,1610696,6908,3265000,505200,6900,83
6995,1610756,7004,3265000,505200,7000,66
7095,1610496,7104,3265000,505200,7101,61
7196,1610372,7204,3170000,410200,7201,63
7296,1610060,7305,3170000,410200,7302,64
7397,1610216,7404,3170000,410200,7402,63
7497,1610340,7506,3170000,410200,7503,65
7600,1610628,7616,3170000,410200,7607,67
7700,1610684,7709,3170000,410200,7706,72
7800,1610572,7817,3170000,410200,7807,67
7901,1610460,7909,3170000,410200,7906,65
8002,1610356,8010,3170000,410200,8008,65
8102,1610356,8111,2254000,0,8108,80
8202,1610356,8226,2254000,0,8224,83
8303,1610096,8310,2254000,0,8308,86
8404,1610096,8412,2254000,0,8409,74
8504,1610096,8516,2254000,0,8509,86
8605,1610016,8613,2254000,0,8610,81
8706,1609876,8715,2254000,0,8712,80
8806,1610328,8815,2254000,0,8813,90
8906,1610096,8915,2254000,0,8912,93
9007,1610220,9015,2254000,0,9012,61
9107,1610220,9115,2541000,0,9113,61
9208,1610404,9216,2541000,0,9214,67
9309,1610512,9318,2541000,0,9316,61
9411,1610464,9428,2541000,0,9416,66
9511,1610588,9519,2541000,0,9517,65
9612,1610404,9621,2541000,0,9618,62
9713,1610156,9721,2541000,0,9718,66
9814,1610032,9834,2541000,0,9819,63
9914,1610528,9929,2541000,0,9924,67
10015,1610484,10027,2541000,0,10020,75
10115,1610756,10123,1830000,0,10120,85
10218,1610644,10225,1830000,0,10223,75
10316,1609652,10326,1830000,0,10323,83
10417,1609776,10430,1830000,0,10425,85
10517,1609956,10529,1830000,0,10527,84
10618,1609968,10645,1830000,0,10642,78
10718,1610344,10731,1830000,0,10728,85
10819,1610480,10830,1830000,0,10827,82
10919,1610604,10927,1830000,0,10925,83
11019,1610728,11033,1830000,0,11030,78
11120,1610480,11127,2832000,72200,11125,88
11220,1610248,11229,2832000,72200,11226,95
11321,1610472,11330,2832000,72200,11328,85
11422,1610472,11432,2832000,72200,11429,86
