Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
46,1597632,84,2725000,74800,76,87
147,1598500,157,2650000,0,152,100
247,1599120,257,2650000,0,254,85
348,1600044,355,2650000,0,352,91
448,1603828,464,2650000,0,458,88
549,1602568,557,2650000,0,555,95
650,1605372,669,2650000,0,665,97
750,1603752,757,2650000,0,755,97
850,1604500,859,2650000,0,856,85
951,1606024,961,2650000,0,956,89
1051,1608020,1063,2650000,0,1059,95
1154,1607680,1161,2676000,25800,1158,97
1254,1607632,1261,2676000,25800,1259,94
1354,1607500,1362,2676000,25800,1359,85
1455,1607304,1462,2676000,25800,1459,86
1555,1607104,1562,2676000,25800,1560,86
1656,1606980,1667,2676000,25800,1663,87
1757,1606684,1764,2676000,25800,1762,81
1857,1606900,1866,2676000,25800,1863,85
1958,1607272,1966,2676000,25800,1963,81
2060,1607100,2071,2676000,25800,2068,84
2161,1607100,2168,2962000,311800,2165,79
2271,1607452,2283,2962000,311800,2280,85
2371,1607576,2386,2962000,311800,2384,95
2472,1607660,2481,2962000,311800,2477,86
2572,1607504,2587,2962000,311800,2578,88
2673,1607876,2684,2962000,311800,2678,83
2773,1608144,2784,2962000,311800,2779,78
2873,1608172,2884,2962000,311800,2879,87
2974,1608172,2982,2962000,311800,2978,87
3074,1607800,3082,2962000,311800,3079,83
3175,1607304,3182,3009000,358800,3179,87
3275,1607180,3283,3009000,358800,3281,84
3375,1607400,3384,3009000,358800,3380,85
3476,1609900,3483,3009000,358800,3480,97
3576,1611664,3583,3009000,358800,3581,100
3676,1611764,3684,3009000,358800,3681,100
3777,1611148,3784,3009000,358800,3781,82
3877,1611396,3886,3009000,358800,3883,83
3978,1611396,3985,3009000,358800,3982,83
4079,1611224,4086,3009000,358800,4083,82
4179,1611348,4186,3062000,411800,4184,84
4280,1611224,4289,3062000,411800,4286,83
4381,1611348,4388,3062000,411800,4386,82
4481,1611596,4503,3062000,411800,4496,84
4584,1611672,4591,3062000,411800,4589,95
4685,1611052,4693,3062000,411800,4690,100
4786,1610980,4793,3062000,411800,4790,86
4886,1610900,4895,3062000,411800,4893,82
4987,1610900,4994,3062000,411800,4992,87
5087,1611024,5096,3062000,411800,5093,86
5188,1610788,5197,2994000,343800,5194,65
5289,1610512,5303,2994000,343800,5298,62
5391,1610556,5400,2994000,343800,5397,66
5491,1610452,5500,2994000,343800,5497,61
5592,1609584,5602,2994000,343800,5597,64
5700,1609452,5715,2994000,343800,5712,66
5750,1608832,5760,2994000,343800,5757,75
5851,1609352,5866,2994000,343800,5862,75
