Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
12998,1609160,12915,3107000,412000,12903,67
13098,1608844,13007,3107000,412000,13004,75
13198,1608828,13106,3107000,412000,13104,71
13299,1608796,13206,3107000,412000,13204,60
13399,1608732,13309,3107000,412000,13306,62
13499,1608796,13407,2142000,0,13405,62
13600,1608796,13508,2142000,0,13505,63
13700,1608796,13607,2142000,0,13605,72
13801,1608808,13709,2142000,0,13706,75
13901,1608808,13808,2142000,0,13805,68
14001,1608920,13915,2142000,0,13906,73
14102,1608664,14021,2142000,0,14012,79
14203,1608896,14115,2142000,0,14111,84
14303,1608928,14215,2142000,0,14208,97
14403,1609024,14315,2142000,0,14308,100
14503,1609292,14410,2804000,109000,14408,84
14604,1609296,14511,2804000,109000,14508,86
14704,1609092,14613,2804000,109000,14610,82
14807,1608980,14713,2804000,109000,14709,82
14905,1608868,14816,2804000,109000,14813,78
15006,1609072,14925,2804000,109000,14914,63
15106,1608960,15017,2804000,109000,15014,65
15207,1608928,15129,2804000,109000,15114,65
15307,1609588,15217,2804000,109000,15214,62
15407,1609804,15322,2804000,109000,15317,71
15508,1609696,15419,2660000,0,15416,73
15608,1609828,15520,2660000,0,15518,65
15710,1610012,15619,2660000,0,15617,65
15810,1610040,15725,2660000,0,15717,65
15911,1610024,15820,2660000,0,15818,64
16011,1609904,15927,2660000,0,15919,66
16111,1610028,16021,2660000,0,16018,77
16212,1609904,16125,2660000,0,16119,78
16312,1608988,16224,2660000,0,16221,84
16413,1609272,16329,2660000,0,16326,84
16513,1609808,16427,2520000,0,16421,79
16613,1610056,16522,2520000,0,16519,93
16714,1610056,16622,2520000,0,16619,89
16814,1610304,16723,2520000,0,16719,84
16915,1609976,16846,2520000,0,16843,81
17015,1609976,16925,2520000,0,16920,70
17116,1609912,17025,2520000,0,17020,67
17166,1609752,17128,2520000,0,17121,63
17316,1609664,17174,2520000,0,17171,63
17417,1609584,17324,2520000,0,17322,65
17517,1609584,17425,2642000,0,17422,64
17567,1609584,17525,2642000,0,17522,63
17677,1610056,17575,2642000,0,17573,70
17777,1610036,17690,2642000,0,17688,73
17878,1610264,17788,2642000,0,17785,73
17978,1610052,17887,2642000,0,17884,68
18081,1609912,17988,2642000,0,17985,61
18180,1609788,18095,2642000,0,18092,65
18281,1610036,18191,2642000,0,18189,65
18380,1609912,18297,2642000,0,18294,63
18481,1609868,18391,2138000,0,18388,66
18581,1609868,18495,2138000,0,18492,63
18681,1609880,18590,2138000,0,18587,63
18782,1609880,18697,2138000,0,18694,63
18885,1610252,18791,2138000,0,18788,64
18986,1610124,18898,2138000,0,18894,72
19086,1610020,18995,2138000,0,18992,91
19186,1610020,19104,2138000,0,19101,85
19287,1609740,19196,2138000,0,19193,80
19388,1609740,19298,2138000,0,19295,81
19488,1609956,19398,2478000,0,19395,84
19589,1609912,19502,2478000,0,19499,78
19689,1610012,19601,2478000,0,19599,81
19790,1609540,19707,2478000,0,19704,80
19890,1609464,19800,2478000,0,19796,83
19990,1609416,19901,2478000,0,19898,64
20091,1609940,20005,2478000,0,19998,63
20191,1610076,20105,2478000,0,20101,73
20292,1610296,20203,2478000,0,20199,75
20392,1610264,20305,2478000,0,20298,66
20492,1610240,20401,2600000,0,20398,62
20593,1610080,20501,2600000,0,20498,64
20693,1610204,20601,2600000,0,20598,66
20793,1610328,20701,2600000,0,20698,64
20894,1610284,20802,2600000,0,20799,61
20995,1610396,20902,2600000,0,20900,68
21096,1610396,21003,2600000,0,21000,77
21196,1610396,21112,2600000,0,21107,75
21298,1610500,21205,2600000,0,21203,73
21398,1610420,21306,2600000,0,21303,86
21501,1610328,21405,2377000,0,21403,90
21601,1610440,21510,2377000,0,21507,79
21702,1610440,21608,2377000,0,21606,80
21802,1610440,21712,2377000,0,21707,73
21903,1609696,21810,2377000,0,21808,84
22004,1609384,21918,2377000,0,21912,62
22104,1609496,22018,2377000,0,22010,61
22206,1609496,22124,2377000,0,22121,66
22305,1609620,22215,2377000,0,22212,68
22406,1609616,22322,2377000,0,22312,67
22507,1610004,22425,2350000,0,22416,68
22607,1609872,22520,2350000,0,22513,75
22708,1609232,22617,2350000,0,22614,65
22808,1609232,22717,2350000,0,22714,66
22909,1609108,22816,2350000,0,22814,63
23010,1609308,22919,2350000,0,22916,66
23111,1609432,23019,2350000,0,23016,63
23212,1609504,23124,2350000,0,23119,65
23314,1609424,23221,2350000,0,23218,64
23414,1609516,23333,2350000,0,23319,65
23515,1609560,23423,2062000,0,23420,67
23616,1609812,23528,2062000,0,23521,63
23717,1609680,23627,2062000,0,23622,70
23818,1609792,23727,2062000,0,23722,75
23919,1609676,23828,2062000,0,23825,75
24019,1609676,23926,2062000,0,23924,70
24119,1609456,24026,2062000,0,24024,84
24220,1609456,24127,2062000,0,24125,86
24321,1609344,24227,2062000,0,24225,82
24422,1609424,24329,2062000,0,24326,73
24522,1609516,24429,2512000,0,24426,74
24622,1609516,24536,2512000,0,24531,80
24723,1609392,24630,2512000,0,24627,85
24824,1609392,24737,2512000,0,24734,80
24923,1610200,24834,2512000,0,24829,82
25028,1610208,24940,2512000,0,24933,94
25125,1610192,25036,2512000,0,25032,93
25225,1610440,25136,2512000,0,25132,87
25326,1610588,25234,2512000,0,25232,85
25426,1610772,25336,2512000,0,25333,84
25527,1610012,25444,3321000,626000,25440,78
25627,1610104,25541,3321000,626000,25533,90
25727,1610588,25637,3321000,626000,25633,88
25828,1610712,25737,3321000,626000,25734,82
25928,1610680,25838,3321000,626000,25835,72
26029,1610528,25940,3321000,626000,25937,62
26130,1610424,26039,3321000,626000,26034,69
26230,1610424,26139,3321000,626000,26135,75
26333,1610424,26242,3321000,626000,26236,69
26433,1610580,26342,3321000,626000,26339,63
26535,1610536,26444,2576000,0,26442,65
26635,1610772,26544,2576000,0,26542,60
26736,1610896,26645,2576000,0,26643,64
26786,1610772,26745,2576000,0,26742,62
26887,1610660,26796,2576000,0,26793,65
26987,1610740,26901,2576000,0,26898,68
27088,1610740,26996,2576000,0,26993,70
27188,1610720,27102,2576000,0,27099,69
27288,1610720,27200,2576000,0,27195,84
27392,1610112,27297,2576000,0,27294,92
27492,1610276,27403,2258000,0,27400,84
27592,1610388,27506,2258000,0,27503,82
27693,1610272,27602,2258000,0,27599,83
27793,1610272,27706,2258000,0,27699,80
27894,1610160,27807,2258000,0,27799,86
27994,1610152,27909,2258000,0,27905,77
28094,1610152,28006,2258000,0,28003,81
