Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
93,1623728,23,1225000,0,20,45
193,1624100,101,1225000,0,98,76
294,1624120,203,1225000,0,200,57
395,1625524,327,1225000,0,299,50
495,1629412,404,1225000,0,401,63
596,1640228,511,1225000,0,506,58
696,1644848,608,1225000,0,604,64
798,1636284,706,1225000,0,703,89
899,1642816,808,1793000,507556,804,97
1000,1646732,918,1793000,507556,906,100
1100,1651196,1022,1793000,507556,1009,100
1200,1651800,1110,1793000,507556,1106,100
1300,1654392,1211,1793000,507556,1206,100
1403,1655584,1315,1793000,507556,1306,100
1508,1657960,1412,1793000,507556,1408,100
1558,1658548,1517,1793000,507556,1514,97
1659,1659084,1576,1793000,507556,1564,100
1759,1659476,1669,1793000,507556,1666,100
1860,1660712,1768,1793000,507556,1765,100
1960,1662200,1868,2437000,1151556,1865,97
2060,1659596,1970,2437000,1151556,1967,97
2161,1660092,2070,2437000,1151556,2068,90
2261,1660068,2170,2437000,1151556,2167,68
2362,1659944,2270,2437000,1151556,2267,68
2462,1650832,2370,2437000,1151556,2368,57
2563,1640488,2477,2437000,1151556,2474,41
2663,1640372,2570,2437000,1151556,2567,59
2764,1640124,2672,2437000,1151556,2668,53
2864,1640132,2772,2437000,1151556,2769,60
2967,1640132,2875,2376000,1090556,2871,35
3067,1639948,2977,2376000,1090556,2974,50
3170,1640428,3079,2376000,1090556,3076,58
3271,1640428,3178,2376000,1090556,3175,57
3373,1644768,3282,2376000,1090556,3279,61
3473,1642404,3396,2376000,1090556,3389,73
3574,1642404,3481,2376000,1090556,3479,75
3691,1643356,3589,2376000,1090556,3582,64
3801,1643008,3698,2376000,1090556,3696,89
3901,1641148,3809,2190000,904556,3807,86
4002,1640768,3909,2190000,904556,3907,63
4102,1640140,4010,2190000,904556,4008,64
4202,1641008,4111,2190000,904556,4107,58
4303,1640636,4214,2190000,904556,4210,70
4403,1640760,4311,2190000,904556,4309,60
4504,1640464,4412,2190000,904556,4409,66
4604,1640712,4513,2190000,904556,4510,42
4704,1640828,4614,2190000,904556,4610,52
4811,1641324,4711,2190000,904556,4709,49
4911,1641952,4819,1978000,692556,4816,68
5011,1642324,4920,1978000,692556,4917,68
5112,1642696,5021,1978000,692556,5017,61
5212,1642696,5124,1978000,692556,5119,58
5313,1642944,5222,1978000,692556,5218,64
5413,1642440,5324,1978000,692556,5320,52
5513,1642440,5425,1978000,692556,5420,68
5614,1642160,5523,1978000,692556,5519,60
5714,1641880,5622,1978000,692556,5619,60
5815,1642316,5722,1978000,692556,5720,67
5915,1638720,5828,2247000,961556,5825,78
6016,1639328,5922,2247000,961556,5920,73
6116,1637984,6025,2247000,961556,6022,74
6216,1637984,6124,2247000,961556,6121,84
6317,1638152,6227,2247000,961556,6224,52
6418,1637468,6325,2247000,961556,6322,62
6518,1637220,6438,2247000,961556,6436,57
6618,1637252,6526,2247000,961556,6524,61
6718,1637128,6636,2247000,961556,6630,59
6769,1636756,6730,2247000,961556,6726,63
6869,1637376,6776,2247000,961556,6774,82
6970,1636260,6879,2315000,1029556,6876,69
7073,1636200,6980,2315000,1029556,6977,63
7171,1636976,7083,2315000,1029556,7079,59
7272,1636888,7182,2315000,1029556,7178,74
7373,1636748,7280,2315000,1029556,7278,80
7474,1636360,7381,2315000,1029556,7378,68
7575,1636468,7484,2315000,1029556,7481,58
7676,1636344,7584,2315000,1029556,7581,61
7776,1636716,7685,2315000,1029556,7682,57
7877,1636764,7788,2315000,1029556,7786,57
7979,1636468,7885,2278000,992556,7882,80
8080,1636096,7988,2278000,992556,7985,61
8180,1636392,8087,2278000,992556,8085,79
8281,1636516,8188,2278000,992556,8185,71
8382,1637116,8290,2278000,992556,8288,56
8483,1637364,8392,2278000,992556,8389,72
8583,1637128,8496,2278000,992556,8489,80
8684,1637260,8593,2278000,992556,8590,62
8785,1637384,8693,2278000,992556,8690,60
8885,1637508,8794,2230000,944556,8791,65
8986,1637260,8894,2230000,944556,8892,59
9087,1637136,8995,2230000,944556,8992,57
9190,1637260,9096,2230000,944556,9093,62
9289,1637260,9198,2230000,944556,9196,64
9392,1636888,9303,2230000,944556,9296,64
9492,1636788,9403,2230000,944556,9400,64
9593,1637268,9499,2230000,944556,9497,62
