Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
58,1608460,65,2554000,231556,63,94
158,1608576,166,2554000,231556,163,82
258,1609616,266,2554000,231556,264,86
359,1610732,367,2554000,231556,364,82
459,1611804,475,2067000,0,471,97
561,1616136,569,2067000,0,567,100
661,1612168,670,2067000,0,667,71
762,1612168,769,2067000,0,767,69
862,1612168,874,2067000,0,871,62
962,1611256,980,2067000,0,969,40
1063,1610720,1070,2067000,0,1068,54
1164,1610760,1171,2067000,0,1168,55
1264,1610720,1273,2067000,0,1269,53
1364,1610764,1372,2067000,0,1369,56
1465,1610888,1472,1393000,0,1469,50
1565,1611040,1573,1393000,0,1570,62
1666,1611040,1676,1393000,0,1671,72
1766,1611676,1776,1393000,0,1773,70
1867,1611676,1883,1393000,0,1881,59
1967,1611676,1977,1393000,0,1974,87
2067,1611180,2078,1393000,0,2074,78
2168,1611108,2177,1393000,0,2174,60
2268,1611124,2279,1393000,0,2275,61
2369,1611124,2379,1393000,0,2375,62
2469,1611248,2490,1539000,0,2487,58
2570,1610876,2579,1539000,0,2576,65
2670,1611000,2681,1539000,0,2677,55
2771,1611248,2780,1539000,0,2777,68
2871,1611484,2892,1539000,0,2890,77
2971,1611360,2979,1539000,0,2977,60
3072,1611360,3082,1539000,0,3079,56
3172,1610656,3181,1539000,0,3178,60
3273,1614480,3286,1539000,0,3279,67
3373,1614596,3381,1539000,0,3379,77
3473,1614596,3482,1444000,0,3480,60
3574,1614720,3584,1444000,0,3580,57
3674,1614720,3683,1444000,0,3680,57
3776,1614820,3791,1444000,0,3787,44
3877,1614944,3912,1444000,0,3896,62
3977,1615632,3987,1444000,0,3983,97
4077,1615508,4086,1444000,0,4083,93
4178,1615672,4187,1444000,0,4185,70
4278,1615568,4288,1444000,0,4285,63
4378,1615568,4390,1444000,0,4387,58
4479,1615568,4492,1496000,0,4487,49
4580,1614908,4600,1496000,0,4596,60
4680,1613792,4688,1496000,0,4685,61
4781,1613792,4789,1496000,0,4786,51
4882,1613864,4889,1496000,0,4886,56
4982,1613864,4990,1496000,0,4987,56
5092,1614112,5101,1496000,0,5097,57
5183,1614260,5194,1496000,0,5191,70
5283,1615004,5292,1496000,0,5289,75
5383,1615128,5392,1496000,0,5389,63
5484,1615128,5495,1263000,0,5492,62
5584,1614756,5600,1263000,0,5597,64
5685,1614652,5694,1263000,0,5691,60
5786,1614268,5801,1263000,0,5796,32
5886,1614268,5900,1263000,0,5896,51
5987,1614268,6002,1263000,0,5994,57
6087,1614196,6099,1263000,0,6096,58
6187,1614180,6203,1263000,0,6193,59
6288,1614452,6301,1263000,0,6297,60
6393,1615152,6408,1263000,0,6399,68
6495,1615276,6506,1321000,0,6504,64
6594,1615276,6605,1321000,0,6601,60
6695,1615276,6704,1321000,0,6701,60
6795,1615276,6804,1321000,0,6801,55
6895,1615388,6905,1321000,0,6902,61
6996,1615512,7013,1321000,0,7005,53
7096,1614892,7107,1321000,0,7104,66
7197,1614804,7207,1321000,0,7204,61
7297,1614756,7308,1321000,0,7304,61
7398,1614756,7407,1321000,0,7404,58
7498,1614880,7511,1326000,0,7507,68
7599,1614776,7607,1326000,0,7604,77
7700,1614880,7709,1326000,0,7706,59
7805,1615376,7818,1326000,0,7815,80
7905,1619592,7922,1326000,0,7911,94
8006,1612200,8015,1326000,0,8013,95
8107,1605988,8120,1326000,0,8115,93
8207,1605392,8217,1326000,0,8214,88
8308,1606012,8315,1326000,0,8313,91
8408,1606228,8430,1326000,0,8426,93
8509,1606716,8520,2413000,90556,8518,90
8609,1607028,8622,2413000,90556,8618,88
8709,1608000,8721,2413000,90556,8718,97
8810,1607888,8819,2413000,90556,8816,92
8910,1607972,8920,2413000,90556,8917,86
9010,1607864,9023,2413000,90556,9020,86
9111,1607600,9123,2413000,90556,9119,83
9211,1607508,9223,2413000,90556,9216,88
9311,1607628,9322,2413000,90556,9317,83
9412,1607508,9421,2413000,90556,9417,87
9512,1607880,9520,3440000,1117556,9517,80
9613,1607632,9623,3440000,1117556,9618,86
9713,1607692,9721,3440000,1117556,9718,87
9813,1608312,9834,3440000,1117556,9827,94
9914,1607816,9921,3440000,1117556,9918,95
10014,1607920,10022,3440000,1117556,10020,83
10115,1607288,10122,3440000,1117556,10119,87
10215,1607444,10224,3440000,1117556,10222,86
10315,1607632,10325,3440000,1117556,10320,83
10416,1607568,10423,3440000,1117556,10420,87
10516,1606700,10524,3353000,1030556,10521,86
10616,1606576,10624,3353000,1030556,10622,83
10717,1606576,10725,3353000,1030556,10722,87
10820,1607056,10829,3353000,1030556,10826,83
10920,1607136,10930,3353000,1030556,10927,82
11019,1607604,11027,3353000,1030556,11024,93
11119,1608176,11127,3353000,1030556,11125,89
11220,1607568,11228,3353000,1030556,11225,84
11320,1607380,11328,3353000,1030556,11325,87
11421,1607256,11429,3353000,1030556,11426,85
11521,1607380,11529,3313000,990556,11526,84
11622,1607320,11630,3313000,990556,11627,88
11722,1607520,11731,3313000,990556,11728,82
11822,1607380,11832,3313000,990556,11830,81
11923,1607568,11933,3313000,990556,11930,86
12023,1607380,12044,3313000,990556,12034,80
12123,1607228,12134,3313000,990556,12131,93
12224,1607384,12234,3313000,990556,12231,100
12324,1607492,12333,3313000,990556,12331,86
12425,1607752,12436,3313000,990556,12433,82
12525,1607888,12533,3373000,1050556,12530,85
12626,1607752,12648,3373000,1050556,12639,84
12726,1607380,12736,3373000,1050556,12733,83
12827,1607444,12836,3373000,1050556,12832,83
12927,1607476,12938,3373000,1050556,12935,84
13028,1607476,13036,3373000,1050556,13033,82
13128,1606216,13137,3373000,1050556,13133,82
13228,1606112,13239,3373000,1050556,13235,80
13329,1606280,13338,3373000,1050556,13334,90
13429,1606032,13438,3373000,1050556,13434,94
13530,1606032,13545,3195000,872556,13542,86
13630,1606032,13639,3195000,872556,13636,79
13731,1606032,13746,3195000,872556,13743,82
13831,1606032,13840,3195000,872556,13837,83
13932,1606032,13945,3195000,872556,13936,81
14032,1606032,14040,3195000,872556,14037,83
14133,1605956,14151,3195000,872556,14148,86
14233,1605740,14246,3195000,872556,14238,88
14333,1605740,14343,3195000,872556,14339,87
14434,1606236,14441,3195000,872556,14439,92
14534,1606608,14544,3314000,991556,14539,97
14635,1606420,14642,3314000,991556,14640,87
14735,1606576,14746,3314000,991556,14740,81
14836,1606252,14843,3314000,991556,14840,86
14936,1606436,14953,3314000,991556,14948,85
15036,1606296,15043,3314000,991556,15041,86
15137,1606348,15150,3314000,991556,15145,81
15188,1606528,15196,3314000,991556,15192,93
15289,1606712,15298,3314000,991556,15295,85
15389,1606836,15397,3314000,991556,15394,80
15490,1606960,15499,3396000,1073556,15496,82
15590,1606588,15598,3396000,1073556,15595,89
