Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
64,1588016,4,2676000,67334,81,91
165,1587892,90,2676000,67334,173,90
265,1589380,176,2676000,67334,271,97
366,1592772,274,2569000,0,373,94
466,1606436,376,2569000,0,473,95
567,1605940,478,2569000,0,578,92
668,1604824,582,2569000,0,674,100
768,1608116,679,2569000,0,775,95
868,1608860,778,2569000,0,875,100
969,1610092,878,2569000,0,974,97
1069,1610900,977,2569000,0,1075,100
1170,1618560,1086,2569000,0,1175,100
1270,1618684,1182,2569000,0,1275,100
1382,1619304,1277,3093000,484334,1388,100
1454,1619676,1398,3093000,484334,1460,100
1570,1619244,1466,3093000,484334,1576,100
1670,1618624,1581,3093000,484334,1675,100
1770,1617136,1682,3093000,484334,1776,90
1871,1616764,1778,3093000,484334,1876,83
1971,1616788,1879,3093000,484334,1984,83
2071,1616688,1994,3093000,484334,2077,84
2172,1616688,2080,3093000,484334,2177,78
2272,1616796,2180,3093000,484334,2278,79
2373,1616796,2280,3250000,641334,2378,79
2473,1616796,2381,3250000,641334,2481,89
2574,1616796,2484,3250000,641334,2591,84
2674,1616672,2594,3250000,641334,2681,99
2774,1616672,2686,3250000,641334,2780,82
2874,1616672,2782,3250000,641334,2880,85
2975,1616860,2882,3250000,641334,2980,82
3075,1616748,2983,3250000,641334,3080,81
3176,1616748,3083,3250000,641334,3181,79
3276,1616748,3184,3250000,641334,3281,83
3377,1620468,3284,3147000,538334,3381,92
3477,1620592,3384,3147000,538334,3483,95
3578,1620592,3486,3147000,538334,3583,97
3679,1620592,3585,3147000,538334,3684,82
3779,1620716,3686,3147000,538334,3785,95
3879,1620096,3788,3147000,538334,3884,93
3980,1620180,3888,3147000,538334,3986,80
4080,1620252,3989,3147000,538334,4089,83
4181,1620252,4092,3147000,538334,4188,77
4281,1620368,4190,3147000,538334,4288,81
4381,1620368,4291,3262000,653334,4389,78
4482,1619376,4392,3262000,653334,4487,84
4582,1619376,4490,3262000,653334,4588,78
4683,1619376,4591,3262000,653334,4690,82
4783,1619376,4692,3262000,653334,4789,80
4883,1619624,4791,3262000,653334,4899,80
4986,1620044,4902,3262000,653334,4992,97
5087,1620064,4995,3262000,653334,5093,87
5188,1620188,5096,3262000,653334,5194,81
5288,1620188,5197,3262000,653334,5297,80
5388,1620188,5301,3134000,525334,5395,77
5489,1619940,5398,3134000,525334,5495,78
5589,1619940,5497,3134000,525334,5595,73
5689,1618948,5597,3134000,525334,5695,86
5790,1618824,5708,3134000,525334,5798,78
5890,1618824,5801,3134000,525334,5907,81
5991,1618632,5910,3134000,525334,5997,81
6106,1618832,5999,3134000,525334,6116,90
6207,1618940,6119,3134000,525334,6213,92
6307,1619200,6217,3069000,460334,6314,86
6357,1619132,6320,3069000,460334,6364,75
6458,1618748,6367,3069000,460334,6463,82
6558,1618808,6466,3069000,460334,6564,80
6659,1619072,6567,3069000,460334,6664,85
6759,1619072,6671,3069000,460334,6765,85
6860,1619072,6771,3069000,460334,6867,89
6960,1618916,6873,3069000,460334,6965,80
7061,1618700,6967,3069000,460334,7066,85
7161,1618700,7069,3069000,460334,7167,77
7262,1619104,7170,3069000,460334,7278,92
7362,1619232,7285,3329000,720334,7368,100
7462,1618996,7371,3329000,720334,7468,89
7565,1618996,7470,3329000,720334,7571,87
7663,1618748,7574,3329000,720334,7671,83
7763,1618748,7673,3329000,720334,7769,82
7864,1618624,7772,3329000,720334,7870,81
7964,1618560,7873,3329000,720334,7970,82
8065,1618624,7976,3329000,720334,8072,83
8165,1618624,8074,3329000,720334,8171,78
8266,1618624,8174,3329000,720334,8274,84
8366,1618624,8277,3361000,752334,8373,81
8467,1618980,8376,3361000,752334,8483,96
8567,1619228,8490,3361000,752334,8574,100
8669,1618856,8578,3361000,752334,8675,78
8769,1619040,8678,3361000,752334,8775,83
8869,1618904,8779,3361000,752334,8875,87
8971,1618936,8878,3361000,752334,8976,84
9072,1618748,8978,3361000,752334,9081,85
9172,1618748,9084,3361000,752334,9179,87
9273,1618812,9182,3361000,752334,9284,80
9373,1618500,9292,3419000,810334,9397,63
9473,1618592,9400,3419000,810334,9484,64
9574,1618748,9487,3419000,810334,9584,65
9675,1618720,9588,3419000,810334,9693,71
9774,1618596,9697,3419000,810334,9783,75
9874,1618728,9786,3419000,810334,9883,63
9975,1617136,9886,3419000,810334,9984,66
10075,1617228,9987,3419000,810334,10083,61
10176,1617104,10086,3419000,810334,10185,64
10278,1617444,10187,3419000,810334,10286,63
10378,1617444,10289,2219000,0,10385,64
10479,1617444,10398,2219000,0,10488,65
10579,1617444,10491,2219000,0,10593,77
10681,1617444,10596,2219000,0,10686,77
10782,1617816,10689,2219000,0,10790,80
10882,1618684,10793,2219000,0,10888,95
10982,1619200,10891,2219000,0,10989,88
11083,1619152,10991,2219000,0,11089,80
11184,1619276,11092,2219000,0,11199,87
11284,1619028,11202,2219000,0,11289,82
11384,1619028,11292,2923000,314334,11390,81
11484,1618792,11393,2923000,314334,11489,80
11585,1618792,11493,2923000,314334,11589,78
11685,1618792,11592,2923000,314334,11690,81
11786,1618792,11692,2923000,314334,11791,87
11886,1618792,11793,2923000,314334,11890,83
11986,1619012,11893,2923000,314334,11991,88
12087,1619076,11996,2923000,314334,12092,100
12187,1618952,12094,2923000,314334,12191,82
12287,1618904,12194,2923000,314334,12292,85
12387,1619152,12294,3360000,751334,12392,84
12488,1619052,12394,3360000,751334,12492,83
12588,1619020,12495,3360000,751334,12593,82
12689,1619084,12596,3360000,751334,12694,80
12789,1618464,12698,3360000,751334,12794,86
12890,1618556,12796,3360000,751334,12895,85
12991,1618424,12897,3360000,751334,12996,86
13091,1618484,12998,3360000,751334,13096,78
13196,1619104,13099,3360000,751334,13202,92
13297,1619228,13204,3360000,751334,13302,97
13397,1619228,13305,3415000,806334,13402,81
13498,1619228,13405,3415000,806334,13504,78
13598,1619228,13506,3415000,806334,13603,82
13698,1619244,13606,3415000,806334,13705,76
13799,1619244,13707,3415000,806334,13804,79
13899,1619368,13807,3415000,806334,13905,77
14002,1619492,13908,3415000,806334,14007,79
14102,1619692,14009,3415000,806334,14107,82
14204,1619012,14109,3415000,806334,14208,79
14304,1619136,14211,3415000,806334,14321,72
14407,1619292,14324,3182000,573334,14412,75
14507,1619152,14415,3182000,573334,14513,66
14607,1619152,14516,3182000,573334,14613,63
14708,1619228,14616,3182000,573334,14714,62
14808,1619136,14717,3182000,573334,14814,67
14909,1619012,14816,3182000,573334,14915,61
15009,1619260,14917,3182000,573334,15015,63
15110,1619260,15017,3182000,573334,15115,65
15211,1619260,15118,3182000,573334,15217,63
15311,1619012,15219,3182000,573334,15318,64
15412,1619136,15322,2099000,0,15418,67
15513,1619888,15421,2099000,0,15529,72
15638,1620240,15538,2099000,0,15644,86
15688,1619868,15647,2099000,0,15693,82
15789,1619868,15697,2099000,0,15799,80
15889,1619756,15802,2099000,0,15893,71
15989,1619788,15896,2099000,0,15994,80
16090,1619748,15997,2099000,0,16095,84
16190,1619748,16097,2099000,0,16195,78
16290,1618756,16198,2099000,0,16296,80
16391,1618756,16299,2847000,238334,16396,81
16491,1618756,16399,2847000,238334,16497,80
16591,1618756,16499,2847000,238334,16597,78
16692,1618648,16607,2847000,238334,16697,92
16792,1619316,16699,2847000,238334,16797,100
16892,1619632,16800,2847000,238334,16898,89
16993,1618864,16901,2847000,238334,16998,83
17093,1619112,17000,2847000,238334,17098,85
17194,1619204,17101,2847000,238334,17198,87
17294,1619344,17201,2847000,238334,17300,76
17395,1619452,17303,3251000,642334,17400,63
17496,1619360,17403,3251000,642334,17502,66
17598,1619268,17507,3251000,642334,17606,64
17698,1619576,17609,3251000,642334,17704,66
17798,1619484,17712,3251000,642334,17807,65
17900,1619764,17809,3251000,642334,17907,71
18001,1620308,17910,3251000,642334,18009,75
18102,1620340,18012,3251000,642334,18109,66
18202,1620340,18111,3251000,642334,18209,61
18303,1620340,18211,3251000,642334,18309,64
18404,1619536,18312,2128000,0,18409,66
18504,1619424,18412,2128000,0,18510,63
18605,1619456,18513,2128000,0,18611,61
18706,1619344,18614,2128000,0,18712,69
18806,1619344,18714,2128000,0,18812,64
18907,1619348,18815,2128000,0,18913,62
19007,1619204,18917,2128000,0,19013,63
19158,1619756,19016,2128000,0,19164,73
19260,1620004,19177,2128000,0,19268,67
19358,1619804,19271,1795000,0,19368,64
19459,1619940,19371,1795000,0,19469,69
19559,1619724,19471,1795000,0,19566,75
19659,1619832,19570,1795000,0,19669,74
19760,1619972,19672,1795000,0,19770,75
19860,1619260,19773,1795000,0,19871,79
19960,1619260,19874,1795000,0,19969,79
20061,1619204,19972,1795000,0,20068,76
20161,1619388,20071,1795000,0,20166,84
20262,1620060,20169,1795000,0,20271,87
20362,1620044,20274,2683000,74334,20367,97
20462,1620028,20370,2683000,74334,20468,84
20563,1620028,20472,2683000,74334,20569,81
20663,1620152,20573,2683000,74334,20668,85
20763,1620212,20673,2683000,74334,20768,87
20864,1620212,20771,2683000,74334,20873,80
20964,1619808,20878,2683000,74334,20970,77
21064,1619856,20973,2683000,74334,21070,79
21165,1619484,21073,2683000,74334,21170,78
21266,1619608,21172,2683000,74334,21274,80
21366,1619856,21278,3040000,431334,21372,60
21477,1620476,21375,3040000,431334,21484,71
21527,1620580,21488,3040000,431334,21534,75
21627,1620596,21542,3040000,431334,21635,75
21728,1620596,21640,3040000,431334,21734,67
21828,1620484,21737,3040000,431334,21837,62
21928,1619856,21840,3040000,431334,21937,64
22029,1619888,21939,3040000,431334,22036,64
22129,1619856,22039,3040000,431334,22139,62
22229,1619856,22141,3040000,431334,22237,62
22330,1619980,22240,3040000,431334,22336,65
22430,1620104,22340,1904000,0,22441,66
22530,1619920,22444,1904000,0,22536,72
22631,1619764,22540,1904000,0,22637,74
22739,1620432,22647,1904000,0,22745,84
22831,1620432,22748,1904000,0,22837,93
22932,1620308,22840,1904000,0,22937,92
23033,1620344,22939,1904000,0,23040,80
23133,1620468,23045,1904000,0,23138,84
23233,1620436,23140,1904000,0,23238,82
23334,1620560,23241,1904000,0,23338,83
23434,1620188,23341,2843000,234334,23439,84
23534,1620280,23442,2843000,234334,23539,80
