Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
16,1556132,29,1280000,58000,22,69
117,1556908,125,1263000,41000,122,60
217,1557644,225,1263000,41000,222,64
317,1558760,325,1263000,41000,323,57
418,1561808,427,1263000,41000,424,76
518,1561188,529,1263000,41000,526,43
619,1557840,628,1263000,41000,625,36
719,1557100,728,1263000,41000,725,26
819,1557976,829,1263000,41000,825,44
920,1558100,927,1263000,41000,924,39
1020,1558144,1028,1263000,41000,1026,29
1121,1558144,1130,1376000,154000,1127,26
1221,1557504,1228,1376000,154000,1225,26
1321,1557504,1329,1376000,154000,1327,31
1422,1557504,1430,1376000,154000,1427,30
1523,1557504,1545,1376000,154000,1534,27
1623,1557380,1639,1376000,154000,1636,32
1723,1557380,1732,1376000,154000,1729,28
1824,1557380,1832,1376000,154000,1829,31
1924,1557380,1935,1376000,154000,1931,32
2025,1557800,2032,479000,0,2029,40
2125,1557800,2133,479000,0,2131,29
2226,1557800,2235,479000,0,2232,29
2327,1557572,2343,479000,0,2340,15
2431,1557820,2442,479000,0,2438,47
2532,1560460,2540,479000,0,2537,64
2632,1560832,2644,479000,0,2639,52
2733,1560704,2746,479000,0,2743,47
2784,1560048,2801,479000,0,2797,28
2883,1560416,2891,479000,0,2888,43
2983,1560416,2995,479000,0,2988,49
3084,1561312,3092,1810000,588000,3089,62
3184,1561376,3192,1810000,588000,3189,77
3285,1561252,3293,1810000,588000,3290,51
3385,1565160,3394,1810000,588000,3391,57
3486,1564688,3499,1810000,588000,3492,53
3586,1564428,3594,1810000,588000,3591,66
3687,1567684,3705,1810000,588000,3692,90
3788,1571068,3818,1810000,588000,3809,92
3889,1552092,3897,1810000,588000,3894,95
3989,1552832,3997,1810000,588000,3995,72
4139,1542144,4148,3243000,2021000,4145,72
4191,1544316,4215,3243000,2021000,4212,68
4298,1546872,4312,3243000,2021000,4304,94
4393,1539992,4413,3243000,2021000,4410,95
4493,1541084,4503,3243000,2021000,4499,100
4594,1542440,4616,3243000,2021000,4613,97
4695,1553364,4706,3243000,2021000,4704,97
4799,1563356,4818,3243000,2021000,4807,97
4896,1572952,4904,3243000,2021000,4901,83
4997,1574396,5005,3243000,2021000,5002,87
5097,1575420,5110,3011000,1789000,5106,90
5198,1578644,5208,3011000,1789000,5205,97
5299,1578024,5309,3011000,1789000,5306,100
5399,1573744,5411,3011000,1789000,5406,70
5500,1576468,5510,3011000,1789000,5506,97
5600,1595716,5610,3011000,1789000,5607,100
5700,1597712,5708,3011000,1789000,5706,81
5801,1598088,5810,3011000,1789000,5807,66
5901,1598336,5909,3011000,1789000,5906,34
6001,1598376,6011,3011000,1789000,6008,33
6102,1597084,6112,2296000,1074000,6108,28
6203,1597012,6211,2296000,1074000,6208,28
6303,1597012,6312,2296000,1074000,6309,29
6404,1597012,6412,2296000,1074000,6409,28
6505,1597012,6515,2296000,1074000,6509,26
6605,1597012,6613,2296000,1074000,6610,28
6706,1597676,6713,2296000,1074000,6709,38
6806,1597800,6821,2296000,1074000,6812,43
6906,1593448,6914,2296000,1074000,6911,38
