Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
16,1592004,43,3005000,217000,39,86
117,1592208,127,3005000,217000,122,100
217,1592688,225,3005000,217000,222,89
318,1593196,325,3005000,217000,323,85
418,1593828,430,3005000,217000,423,89
519,1596868,532,3005000,217000,528,91
619,1598340,627,3005000,217000,624,92
719,1600908,730,3005000,217000,725,100
825,1598940,833,3005000,217000,830,97
928,1600548,937,3005000,217000,934,93
1029,1600364,1040,3182000,394000,1035,87
1129,1601356,1140,3182000,394000,1137,89
1229,1602052,1237,3182000,394000,1234,92
1330,1601940,1337,3182000,394000,1334,81
1431,1602120,1439,3182000,394000,1436,87
1531,1602184,1539,3182000,394000,1536,88
1634,1602084,1641,3182000,394000,1639,83
1734,1602440,1742,3182000,394000,1739,89
1835,1602500,1843,3182000,394000,1839,84
1935,1602844,1943,3182000,394000,1940,83
2036,1603496,2048,3316000,528000,2045,97
2137,1603032,2145,3316000,528000,2142,94
2237,1602892,2244,3316000,528000,2242,88
2337,1602752,2345,3316000,528000,2343,85
2438,1602828,2455,3316000,528000,2442,85
2538,1602924,2546,3316000,528000,2543,83
2639,1602924,2646,3316000,528000,2643,82
2739,1602952,2749,3316000,528000,2746,85
2840,1602828,2850,3316000,528000,2846,84
2940,1602828,2948,3316000,528000,2945,78
3040,1602828,3058,3543000,755000,3045,84
3141,1602984,3151,3543000,755000,3148,89
3242,1605932,3251,3543000,755000,3249,97
3343,1606400,3350,3543000,755000,3348,90
3445,1606396,3466,3543000,755000,3462,86
3545,1606396,3554,3543000,755000,3552,88
3646,1606396,3654,3543000,755000,3651,100
3747,1606284,3756,3543000,755000,3753,97
3848,1606408,3856,3543000,755000,3853,86
3949,1606520,3958,3543000,755000,3955,86
4050,1606676,4066,3590000,802000,4055,86
4150,1606952,4158,3590000,802000,4155,81
4251,1607048,4260,3590000,802000,4257,86
4353,1607560,4362,3590000,802000,4359,92
4454,1606496,4468,3590000,802000,4464,94
4554,1606564,4563,3590000,802000,4561,67
4655,1606564,4666,3590000,802000,4662,63
4756,1606564,4765,3590000,802000,4763,67
4858,1606676,4878,3590000,802000,4863,63
4958,1606844,4971,3590000,802000,4964,67
5059,1606348,5068,2748000,0,5065,66
5160,1606532,5170,2748000,0,5167,67
5261,1606904,5277,2748000,0,5267,64
5361,1607152,5371,2748000,0,5368,63
5463,1607188,5473,2748000,0,5470,62
5563,1607672,5579,2748000,0,5575,85
5664,1606816,5672,2748000,0,5670,79
5764,1606564,5774,2748000,0,5771,81
5865,1606688,5874,2748000,0,5871,75
5966,1605820,5974,2748000,0,5971,82
6068,1605668,6075,2451000,0,6073,80
6167,1605324,6175,2451000,0,6173,84
6269,1605324,6276,2451000,0,6273,84
6371,1605528,6380,2451000,0,6377,87
6471,1604924,6480,2451000,0,6477,86
6571,1604800,6581,2451000,0,6578,66
6672,1604788,6680,2451000,0,6678,67
6783,1605020,6795,2451000,0,6790,73
6833,1604796,6860,2451000,0,6851,67
6933,1604796,6949,2451000,0,6939,68
7034,1604920,7048,2774000,0,7045,64
7134,1604920,7146,2774000,0,7140,66
7234,1605012,7247,2774000,0,7241,67
7335,1604764,7348,2774000,0,7342,67
7435,1604748,7444,2774000,0,7441,62
7535,1604800,7554,2774000,0,7548,71
7636,1604800,7643,2774000,0,7640,85
7736,1604788,7744,2774000,0,7741,78
7837,1604912,7846,2774000,0,7842,80
7937,1604800,7950,2774000,0,7946,93
8038,1604880,8045,2633000,0,8043,78
8138,1604756,8147,2633000,0,8144,83
8239,1604880,8248,2633000,0,8245,78
8340,1604892,8347,2633000,0,8345,76
8440,1604952,8449,2633000,0,8446,84
8540,1604952,8548,2633000,0,8545,82
8641,1605188,8650,2633000,0,8646,82
8741,1605448,8748,2633000,0,8746,83
8841,1605340,8849,2633000,0,8846,77
8941,1605464,8949,2633000,0,8946,86
9042,1605392,9050,3220000,432000,9047,97
9142,1605048,9159,3220000,432000,9148,92
9243,1604412,9250,3220000,432000,9247,87
9344,1604940,9355,3220000,432000,9352,86
9447,1605216,9456,3220000,432000,9452,87
9545,1605304,9555,3220000,432000,9552,73
9646,1605324,9655,3220000,432000,9652,63
9747,1605696,9758,3220000,432000,9755,66
9849,1605636,9857,3220000,432000,9854,63
9950,1605648,9960,3220000,432000,9956,66
10050,1604968,10061,2887000,99000,10056,66
10152,1605516,10172,2887000,99000,10161,69
10254,1605652,10264,2887000,99000,10261,75
10358,1605176,10368,2887000,99000,10365,66
10458,1605260,10467,2887000,99000,10464,60
10559,1605452,10584,2887000,99000,10566,61
10659,1605248,10668,2887000,99000,10664,64
10760,1605248,10770,2887000,99000,10767,78
10860,1605248,10867,2887000,99000,10864,78
10962,1605248,10972,2887000,99000,10968,77
11062,1605360,11070,2353000,0,11067,80
11163,1605360,11172,2353000,0,11169,79
11263,1605360,11271,2353000,0,11268,81
11364,1605492,11378,2353000,0,11369,87
11464,1605508,11479,2353000,0,11474,91
11565,1605276,11578,2353000,0,11570,65
11668,1604964,11682,2353000,0,11677,64
11770,1605212,11778,2353000,0,11775,63
11872,1605240,11881,2353000,0,11878,63
11972,1605284,11982,2353000,0,11979,64
12076,1604416,12091,2581000,0,12088,69
12176,1604664,12190,2581000,0,12187,66
12276,1604388,12287,2581000,0,12282,67
12377,1604472,12389,2581000,0,12383,63
12477,1604692,12490,2581000,0,12486,71
12578,1605196,12585,2581000,0,12582,91
12678,1605040,12687,2581000,0,12684,94
12778,1605080,12786,2581000,0,12783,87
12881,1605192,12893,2581000,0,12886,87
12981,1604860,12989,2581000,0,12986,79
13082,1604860,13098,2814000,26000,13095,77
13182,1604860,13190,2814000,26000,13188,78
13283,1605108,13299,2814000,26000,13296,77
13383,1605372,13392,2814000,26000,13389,82
13484,1605216,13495,2814000,26000,13491,81
13584,1605204,13592,2814000,26000,13589,80
13686,1605316,13699,2814000,26000,13692,80
13786,1605552,13795,2814000,26000,13792,88
13886,1605440,13895,2814000,26000,13891,85
13987,1605676,13994,2814000,26000,13991,81
14087,1605748,14095,3156000,368000,14092,100
14187,1605636,14194,3156000,368000,14192,100
14288,1605636,14295,3156000,368000,14293,100
14388,1605636,14395,3156000,368000,14393,100
14489,1605700,14498,3156000,368000,14495,92
14589,1605700,14599,3156000,368000,14596,75
14690,1605464,14703,3156000,368000,14700,75
14790,1605328,14798,3156000,368000,14796,75
14898,1604664,14914,3156000,368000,14909,75
14998,1604788,15007,3156000,368000,15004,75
15098,1604616,15108,3138000,350000,15104,75
15199,1604504,15207,3138000,350000,15204,75
15299,1604640,15308,3138000,350000,15304,75
15399,1604640,15408,3138000,350000,15405,75
15500,1604708,15508,3138000,350000,15505,75
15600,1604088,15613,3138000,350000,15608,75
15700,1604212,15709,3138000,350000,15707,73
15803,1604460,15815,3138000,350000,15810,75
15904,1604460,15913,3138000,350000,15910,75
16004,1604820,16015,3138000,350000,16011,75
16105,1604944,16117,2306000,0,16113,75
16205,1605376,16219,2306000,0,16212,75
16306,1605120,16317,2306000,0,16313,75
16406,1604884,16415,2306000,0,16412,75
16507,1604956,16515,2306000,0,16513,75
16607,1604956,16619,2306000,0,16616,75
16707,1604732,16718,2306000,0,16713,85
16808,1604616,16820,2306000,0,16814,100
16908,1604488,16916,2306000,0,16913,100
17008,1604004,17021,2306000,0,17016,100
17109,1603928,17118,2789000,1000,17114,100
17210,1604148,17219,2789000,1000,17215,100
17317,1604424,17324,2789000,1000,17322,88
17367,1605024,17377,2789000,1000,17374,95
17467,1605712,17477,2789000,1000,17473,100
17568,1605608,17576,2789000,1000,17573,65
17670,1604712,17682,2789000,1000,17676,66
17771,1604804,17780,2789000,1000,17777,66
17872,1604956,17890,2789000,1000,17878,63
17973,1605204,17981,2789000,1000,17978,65
18073,1605204,18081,2850000,62000,18078,64
18173,1605204,18182,2850000,62000,18179,65
18274,1604908,18282,2850000,62000,18279,62
18374,1605032,18383,2850000,62000,18380,64
18475,1605036,18487,2850000,62000,18481,63
18575,1605644,18596,2850000,62000,18588,71
18676,1605384,18686,2850000,62000,18682,73
18776,1605276,18785,2850000,62000,18782,62
18876,1605276,18885,2850000,62000,18882,66
18977,1605276,18989,2850000,62000,18984,61
19078,1604780,19087,1991000,0,19084,65
19178,1604896,19199,1991000,0,19189,60
19279,1605160,19287,1991000,0,19284,68
19379,1605144,19387,1991000,0,19384,65
19479,1605284,19488,1991000,0,19485,68
19580,1605284,19588,1991000,0,19586,61
19681,1605064,19691,1991000,0,19687,65
19782,1605592,19790,1991000,0,19787,85
19884,1605372,19899,1991000,0,19895,78
19984,1605496,19991,1991000,0,19989,85
20084,1605388,20092,2457000,0,20089,80
20187,1605608,20194,2457000,0,20192,80
20287,1605760,20294,2457000,0,20292,80
20388,1605768,20396,2457000,0,20393,79
20488,1605188,20496,2457000,0,20493,82
20590,1605092,20597,2457000,0,20594,75
20691,1605452,20698,2457000,0,20695,83
20790,1605452,20799,2457000,0,20795,81
20890,1605748,20898,2457000,0,20895,90
20990,1605668,20998,2457000,0,20996,90
21092,1605668,21106,3197000,409000,21103,85
21193,1605792,21201,3197000,409000,21198,81
21293,1605296,21305,3197000,409000,21302,82
21394,1605436,21403,3197000,409000,21401,80
21495,1605532,21510,3197000,409000,21506,74
21596,1605544,21607,3197000,409000,21604,60
21697,1605792,21723,3197000,409000,21720,65
21798,1606040,21826,3197000,409000,21816,65
21899,1606100,21908,3197000,409000,21905,68
22001,1606180,22010,3197000,409000,22007,67
22101,1606244,22113,2528000,0,22109,75
22202,1606072,22210,2528000,0,22207,67
22303,1605948,22314,2528000,0,22311,63
22404,1605716,22412,2528000,0,22409,63
22505,1605780,22513,2528000,0,22510,66
22605,1605932,22615,2528000,0,22612,68
22706,1605684,22714,2528000,0,22712,67
22807,1605780,22817,2528000,0,22814,78
22906,1605932,22921,2528000,0,22917,78
23007,1605828,23017,2528000,0,23014,83
23107,1605828,23121,2513000,0,23118,84
23208,1606080,23250,2513000,0,23242,86
23308,1605824,23319,2513000,0,23315,93
23408,1605240,23420,2513000,0,23417,86
23508,1605320,23517,2513000,0,23514,80
23609,1605132,23617,2513000,0,23614,84
23709,1605244,23723,2513000,0,23720,78
23810,1605368,23818,2513000,0,23815,87
