Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
25,1598512,45,2517000,175778,30,100
125,1599108,135,2517000,175778,132,95
226,1599568,234,2517000,175778,231,95
326,1600076,337,2517000,175778,333,84
427,1602968,440,2517000,175778,438,92
527,1601324,550,2517000,175778,545,94
627,1604352,638,2517000,175778,635,92
728,1602004,741,2802000,460778,733,90
828,1604360,836,2802000,460778,833,92
928,1603864,938,2802000,460778,934,87
1031,1605020,1052,2802000,460778,1040,90
1081,1605036,1095,2802000,460778,1092,95
1183,1606276,1202,2802000,460778,1197,87
1282,1606400,1289,2802000,460778,1287,95
1383,1606036,1391,2802000,460778,1388,74
1483,1606284,1491,2802000,460778,1488,69
1585,1606284,1593,2802000,460778,1591,66
1685,1606184,1693,2802000,460778,1690,63
1835,1606276,1844,2343000,1778,1841,65
1936,1606284,1945,2343000,1778,1942,61
2036,1606284,2045,2343000,1778,2042,66
2138,1606160,2146,2343000,1778,2143,64
2190,1606160,2199,2343000,1778,2196,71
2290,1606408,2302,2343000,1778,2296,65
2391,1606424,2401,2343000,1778,2398,67
2491,1606784,2504,2343000,1778,2497,76
2592,1606424,2619,2343000,1778,2616,80
2692,1606028,2699,2343000,1778,2697,85
2792,1605780,2807,1965000,0,2802,82
2893,1605908,2901,1965000,0,2898,85
2994,1605908,3002,1965000,0,3000,84
3094,1606160,3102,1965000,0,3099,85
3194,1609880,3207,1965000,0,3200,83
3295,1609880,3302,1965000,0,3300,88
3396,1610376,3404,1965000,0,3401,86
3496,1610376,3504,1965000,0,3501,97
3598,1610276,3606,1965000,0,3603,100
3699,1610500,3707,1965000,0,3704,95
3800,1610624,3807,2958000,616778,3805,88
3901,1610748,3908,2958000,616778,3905,88
4001,1610996,4009,2958000,616778,4006,86
4103,1610500,4111,2958000,616778,4109,88
4203,1610376,4212,2958000,616778,4209,67
4306,1610500,4314,2958000,616778,4311,66
4406,1610624,4415,2958000,616778,4412,64
4507,1610748,4515,2958000,616778,4512,67
4607,1610872,4615,2958000,616778,4613,62
4708,1610624,4718,2958000,616778,4715,69
4808,1609044,4817,2245000,0,4814,73
4910,1609324,4919,2245000,0,4916,70
5012,1609640,5022,2245000,0,5020,67
5113,1609632,5122,2245000,0,5119,66
5213,1609756,5222,2245000,0,5220,63
5314,1609756,5323,2245000,0,5320,68
5414,1610004,5424,2245000,0,5421,78
5515,1608888,5523,2245000,0,5520,81
5615,1608764,5625,2245000,0,5622,81
5716,1608516,5725,2245000,0,5722,83
5817,1607896,5825,2088000,0,5823,77
5917,1607896,5926,2088000,0,5923,79
6017,1607868,6025,2088000,0,6022,96
6117,1607920,6126,2088000,0,6123,85
6218,1607680,6226,2088000,0,6223,85
6318,1607648,6327,2088000,0,6324,86
6419,1607772,6431,2088000,0,6428,88
6519,1607648,6529,2088000,0,6527,82
6619,1607648,6630,2088000,0,6627,85
6720,1607648,6731,2088000,0,6728,87
6823,1607400,6838,2944000,602778,6835,82
6923,1606780,6933,2944000,602778,6930,86
7025,1607060,7039,2944000,602778,7036,83
7125,1607216,7134,2944000,602778,7132,94
7227,1607216,7236,2944000,602778,7233,95
7327,1607340,7337,2944000,602778,7332,86
7428,1607228,7443,2944000,602778,7440,85
7529,1607352,7538,2944000,602778,7534,90
7629,1607600,7638,2944000,602778,7635,82
7730,1607600,7739,3123000,781778,7736,79
7830,1607600,7838,3123000,781778,7836,84
7931,1607492,7939,3123000,781778,7937,79
8031,1607944,8045,3123000,781778,8038,81
8131,1607896,8142,3123000,781778,8139,68
8232,1608020,8267,3123000,781778,8244,64
8332,1607760,8343,3123000,781778,8340,71
8433,1607760,8442,3123000,781778,8439,75
8533,1607400,8544,3123000,781778,8541,69
8634,1607392,8642,3123000,781778,8639,63
8734,1607388,8745,2023000,0,8742,64
8834,1607528,8842,2023000,0,8840,64
8935,1607528,8945,2023000,0,8942,63
9035,1607592,9047,2023000,0,9042,64
9135,1607524,9146,2023000,0,9141,66
9236,1607400,9259,2023000,0,9242,67
9336,1607276,9348,2023000,0,9342,73
9437,1607400,9445,2023000,0,9442,78
9537,1607764,9546,2023000,0,9543,86
9644,1608036,9655,2023000,0,9652,93
9746,1607776,9756,2222000,0,9754,90
9846,1607776,9857,2222000,0,9855,82
9948,1607960,9961,2222000,0,9959,84
10048,1608036,10058,2222000,0,10055,80
10148,1608160,10159,2222000,0,10156,70
10249,1608160,10260,2222000,0,10255,65
10349,1608160,10364,2222000,0,10361,62
10450,1607416,10459,2222000,0,10456,63
10550,1607292,10560,2222000,0,10557,63
10651,1607292,10659,2222000,0,10657,65
10751,1608180,10769,2081000,0,10762,69
10851,1608172,10866,2081000,0,10858,75
10955,1607692,10966,2081000,0,10963,67
11056,1607940,11065,2081000,0,11062,62
11156,1607788,11167,2081000,0,11162,65
11256,1607788,11266,2081000,0,11264,61
11357,1607788,11368,2081000,0,11365,74
11457,1607912,11471,2081000,0,11469,76
11557,1607912,11585,2081000,0,11576,79
11658,1607880,11667,2081000,0,11664,77
11758,1607880,11774,2058000,0,11771,82
11859,1607880,11868,2058000,0,11865,78
11961,1608400,11979,2058000,0,11974,91
12061,1608440,12070,2058000,0,12067,89
12162,1608624,12177,2058000,0,12174,80
12263,1608500,12270,2058000,0,12268,85
12363,1608252,12376,2058000,0,12371,84
12463,1608004,12473,2058000,0,12470,65
12564,1607508,12572,2058000,0,12569,67
12664,1607632,12673,2058000,0,12670,65
12766,1607508,12783,2485000,143778,12780,66
12867,1607632,12875,2485000,143778,12872,60
12967,1607508,12976,2485000,143778,12973,63
13068,1607736,13078,2485000,143778,13075,67
13168,1607900,13179,2485000,143778,13176,75
13269,1607776,13278,2485000,143778,13275,65
13369,1608024,13385,2485000,143778,13382,65
13469,1608024,13478,2485000,143778,13475,61
13570,1608024,13583,2485000,143778,13576,60
13670,1608148,13679,2485000,143778,13677,65
13771,1608272,13779,1560000,0,13776,61
13871,1608284,13881,1560000,0,13878,64
13972,1608160,13981,1560000,0,13978,64
14072,1608128,14080,1560000,0,14078,66
14172,1607880,14180,1560000,0,14178,64
14273,1608036,14282,1560000,0,14279,68
14374,1608160,14384,1560000,0,14381,75
14475,1608148,14484,1560000,0,14481,66
14576,1608036,14584,1560000,0,14581,81
14676,1608036,14685,1560000,0,14682,80
14777,1608036,14798,1975000,0,14782,84
14878,1608176,14887,1975000,0,14883,80
14978,1608176,14995,1975000,0,14984,79
15079,1608376,15088,1975000,0,15083,80
15130,1608376,15140,1975000,0,15137,91
15231,1608128,15238,1975000,0,15236,88
15332,1607260,15340,1975000,0,15337,88
15486,1607740,15497,1975000,0,15493,70
15586,1607968,15596,1975000,0,15592,75
15687,1607864,15695,1975000,0,15692,65
15787,1607864,15795,2411000,69778,15792,62
15887,1607988,15896,2411000,69778,15894,62
15988,1608156,15996,2411000,69778,15993,64
16088,1607756,16097,2411000,69778,16095,62
16189,1608004,16197,2411000,69778,16195,63
16289,1607880,16299,2411000,69778,16296,65
16390,1608252,16398,2411000,69778,16396,62
16492,1608376,16503,2411000,69778,16498,68
16592,1608500,16601,2411000,69778,16598,76
16693,1608896,16708,2411000,69778,16705,87
16794,1608688,16802,1827000,0,16799,88
16894,1608328,16904,1827000,0,16899,79
16995,1608404,17002,1827000,0,17000,89
17095,1608500,17103,1827000,0,17100,84
17196,1608624,17203,1827000,0,17201,87
17297,1608376,17311,1827000,0,17308,81
17398,1608500,17407,1827000,0,17404,68
17499,1608624,17519,1827000,0,17508,67
17600,1608748,17612,1827000,0,17609,66
17701,1608624,17721,1827000,0,17718,66
17801,1608500,17810,2477000,135778,17807,67
17902,1608624,17913,2477000,135778,17908,73
18003,1608856,18011,2477000,135778,18008,73
18106,1608896,18118,2477000,135778,18114,67
18204,1608288,18213,2477000,135778,18210,66
18304,1608400,18319,2477000,135778,18312,64
18404,1608156,18416,2477000,135778,18414,65
18507,1608156,18528,2477000,135778,18525,64
18606,1608280,18618,2477000,135778,18615,63
18706,1608404,18740,2477000,135778,18735,64
18807,1608528,18817,1652000,0,18815,65
18908,1608404,18926,1652000,0,18914,63
19008,1608528,19020,1652000,0,19017,69
19108,1608812,19121,1652000,0,19118,75
19209,1608688,19229,1652000,0,19216,66
19309,1608688,19319,1652000,0,19317,63
19410,1608564,19437,1652000,0,19434,63
19510,1608516,19524,1652000,0,19521,68
19610,1608268,19629,1652000,0,19618,77
19711,1608268,19722,1652000,0,19719,80
19811,1608392,19827,1890000,0,19820,81
19912,1608268,19922,1890000,0,19919,84
20012,1608268,20024,1890000,0,20021,81
20112,1608252,20124,1890000,0,20119,81
20213,1608376,20223,1890000,0,20220,79
20313,1608156,20324,1890000,0,20318,96
20414,1608124,20421,1890000,0,20418,86
20514,1608124,20521,1890000,0,20518,85
20614,1608344,20622,1890000,0,20619,85
20715,1608344,20722,1890000,0,20719,84
20815,1608716,20823,2890000,548778,20820,86
20916,1609076,20924,2890000,548778,20921,81
21016,1608640,21024,2890000,548778,21021,84
21117,1608500,21127,2890000,548778,21123,73
21217,1608624,21227,2890000,548778,21223,62
21317,1608624,21326,2890000,548778,21323,63
21420,1608872,21429,2890000,548778,21427,69
21521,1608872,21535,2890000,548778,21533,75
21621,1608984,21632,2890000,548778,21627,61
21722,1607992,21739,2890000,548778,21736,62
21822,1607992,21831,1980000,0,21828,65
21922,1608116,21935,1980000,0,21932,64
22023,1608112,22031,1980000,0,22029,63
22123,1608252,22140,1980000,0,22129,63
22224,1608376,22232,1980000,0,22229,66
22324,1608500,22343,1980000,0,22340,61
22424,1608996,22436,1980000,0,22432,70
22525,1608872,22535,1980000,0,22532,64
22626,1608996,22646,1980000,0,22641,73
22727,1608996,22737,1980000,0,22734,75
22827,1608748,22836,1725000,0,22832,68
22928,1608856,22940,1725000,0,22937,67
23029,1608724,23043,1725000,0,23035,66
23128,1608724,23137,1725000,0,23134,64
23229,1608476,23241,1725000,0,23238,66
23330,1608600,23341,1725000,0,23338,70
23431,1608600,23442,1725000,0,23439,73
23531,1608848,23542,1725000,0,23537,81
23631,1608972,23643,1725000,0,23641,83
23732,1609096,23751,1725000,0,23742,82
23833,1608836,23844,2133000,0,23840,87
23933,1608228,23942,2133000,0,23939,92
24033,1608244,24044,2133000,0,24041,88
24134,1608228,24142,2133000,0,24140,83
24184,1608228,24192,2133000,0,24189,90
24284,1608228,24294,2133000,0,24290,83
24385,1608352,24395,2133000,0,24392,83
24485,1608600,24500,2133000,0,24491,86
24585,1608600,24596,2133000,0,24594,81
24686,1608600,24695,2133000,0,24692,83
24786,1608848,24794,2919000,577778,24792,85
24886,1608848,24894,2919000,577778,24891,81
24990,1609236,24998,2919000,577778,24995,92
25090,1609152,25112,2919000,577778,25105,91
25192,1608780,25201,2919000,577778,25198,67
25293,1608508,25305,2919000,577778,25302,66
25394,1608632,25406,2919000,577778,25403,69
25494,1608508,25505,2919000,577778,25503,64
25595,1608508,25605,2919000,577778,25601,63
25695,1608508,25707,2919000,577778,25704,64
25799,1608508,25814,2190000,0,25811,65
25897,1608880,25910,2190000,0,25906,67
25997,1608880,26012,2190000,0,26007,65
26097,1609144,26112,2190000,0,26107,67
26209,1608988,26226,2190000,0,26219,71
