Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
38,1591700,48,2647000,70000,45,96
139,1592280,156,2647000,70000,144,94
239,1593056,249,2647000,70000,245,97
339,1593924,347,2647000,70000,344,88
440,1596392,448,2647000,70000,445,92
540,1598032,560,2647000,70000,557,88
643,1597984,651,2974000,397000,649,97
747,1598356,756,2974000,397000,753,92
848,1600048,855,2974000,397000,852,90
948,1601536,957,2974000,397000,953,88
1049,1601380,1059,2974000,397000,1054,92
1150,1601648,1158,2974000,397000,1155,90
1251,1602520,1262,2974000,397000,1259,92
1351,1602544,1359,2974000,397000,1356,97
1452,1602536,1459,2974000,397000,1456,82
1552,1602300,1559,2974000,397000,1557,90
1652,1602348,1660,3217000,640000,1657,87
1753,1602304,1762,3217000,640000,1758,81
1853,1602316,1861,3217000,640000,1858,84
1954,1602144,1976,3217000,640000,1969,85
2055,1601896,2063,3217000,640000,2060,89
2157,1601976,2177,3217000,640000,2174,87
2256,1601852,2264,3217000,640000,2261,84
2357,1601772,2366,3217000,640000,2362,85
2457,1602204,2480,3217000,640000,2477,97
2557,1602204,2567,3217000,640000,2565,88
2658,1602104,2666,3458000,881000,2664,87
2758,1602320,2768,3458000,881000,2766,81
2859,1602136,2869,3458000,881000,2867,86
2959,1602136,2971,3458000,881000,2968,84
3059,1602136,3073,3458000,881000,3070,85
3161,1602224,3183,3458000,881000,3180,85
3261,1602348,3280,3458000,881000,3277,85
3361,1606068,3390,3458000,881000,3383,83
3462,1606080,3472,3458000,881000,3466,95
3562,1606396,3585,3446000,869000,3570,100
3663,1606448,3684,3446000,869000,3668,97
3763,1606448,3775,3446000,869000,3768,86
3863,1606156,3874,3446000,869000,3869,82
3964,1604664,3971,3446000,869000,3969,85
4064,1604956,4071,3446000,869000,4069,81
4165,1605324,4173,3446000,869000,4170,85
4265,1604004,4273,3446000,869000,4271,80
4365,1604004,4373,3446000,869000,4370,86
4466,1604240,4473,3446000,869000,4471,83
4566,1604128,4573,3446000,869000,4571,86
4666,1604376,4689,3347000,770000,4671,86
4767,1604728,4800,3347000,770000,4791,100
4867,1604176,4874,3347000,770000,4872,93
4968,1604052,4975,3347000,770000,4973,85
5068,1603988,5075,3347000,770000,5073,88
5169,1604288,5177,3347000,770000,5174,85
5271,1604208,5280,3347000,770000,5277,83
5371,1604188,5379,3347000,770000,5376,78
5471,1604144,5481,3347000,770000,5478,81
5572,1604204,5580,3347000,770000,5577,95
5673,1604080,5681,3417000,840000,5678,88
5773,1603448,5781,3417000,840000,5778,85
5873,1603696,5882,3417000,840000,5879,83
5974,1604068,5982,3417000,840000,5979,100
6074,1603712,6082,3417000,840000,6079,90
6174,1603540,6185,3417000,840000,6182,85
6275,1603588,6288,3417000,840000,6283,82
6375,1603216,6383,3417000,840000,6380,88
6476,1602888,6486,3417000,840000,6483,82
6576,1602796,6586,3338000,761000,6584,86
