Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load (Normalized) [%]
12786,1606328,12793,3485000,790600,12790,85
12886,1606452,12895,3485000,790600,12891,86
12988,1606640,12996,3485000,790600,12994,86
13088,1606204,13095,3485000,790600,13093,88
13189,1606264,13205,3485000,790600,13195,70
13290,1605920,13298,3485000,790600,13296,61
13390,1606184,13399,3485000,790600,13396,62
13491,1606060,13504,3485000,790600,13497,66
13591,1606424,13601,3485000,790600,13597,75
13692,1606528,13701,2784000,89600,13698,66
13792,1606404,13801,2784000,89600,13798,64
13893,1606404,13902,2784000,89600,13900,60
13994,1606556,14002,2784000,89600,13999,62
14095,1606256,14104,2784000,89600,14101,61
14196,1606416,14204,2784000,89600,14202,74
14296,1606540,14304,2784000,89600,14302,71
14397,1606416,14427,2784000,89600,14416,75
14500,1605808,14507,2784000,89600,14504,85
14600,1605920,14609,2403000,0,14607,82
14701,1605860,14708,2403000,0,14706,92
14801,1606108,14814,2403000,0,14807,95
14902,1605952,14911,2403000,0,14908,87
15004,1605716,15012,2403000,0,15010,90
15105,1605780,15113,2403000,0,15110,82
15207,1605936,15217,2403000,0,15214,85
15307,1605936,15316,2403000,0,15313,79
15408,1605700,15416,2403000,0,15413,76
15508,1605532,15516,2403000,0,15513,85
15609,1605752,15617,3506000,811600,15614,84
15710,1605656,15718,3506000,811600,15715,82
15811,1606264,15822,3506000,811600,15820,88
15915,1606252,15926,3506000,811600,15923,98
15965,1605892,15973,3506000,811600,15971,90
16066,1605768,16073,3506000,811600,16071,81
16166,1605672,16175,3506000,811600,16172,72
16267,1605672,16276,3506000,811600,16273,60
16368,1605672,16377,3506000,811600,16374,64
16468,1605672,16483,3506000,811600,16475,60
16569,1605672,16578,3506000,811600,16575,62
16670,1605176,16679,2654000,0,16676,62
16770,1605176,16780,2654000,0,16777,63
16871,1605284,16890,2654000,0,16883,65
17022,1605872,17035,2654000,0,17031,71
17124,1606328,17140,2654000,0,17130,73
17224,1606200,17231,2654000,0,17229,83
17324,1606684,17333,2654000,0,17330,86
17425,1605816,17432,2654000,0,17430,85
17526,1605816,17533,2654000,0,17531,85
17627,1605580,17635,2741000,46600,17632,85
17727,1605472,17735,2741000,46600,17732,86
17829,1605472,17836,2741000,46600,17834,82
17930,1605488,17937,2741000,46600,17934,86
18031,1605724,18039,2741000,46600,18036,84
18132,1605452,18141,2741000,46600,18138,86
18243,1605952,18268,2741000,46600,18260,71
18343,1606232,18354,2741000,46600,18350,71
18443,1606208,18458,2741000,46600,18455,63
18544,1606060,18554,2741000,46600,18551,64
18644,1606184,18656,2642000,0,18650,65
18744,1606308,18764,2642000,0,18752,65
18845,1605936,18865,2642000,0,18851,62
18945,1605936,18963,2642000,0,18952,65
19046,1605936,19055,2642000,0,19051,63
19146,1606044,19166,2642000,0,19152,63
19247,1606044,19264,2642000,0,19261,84
19348,1606272,19357,2642000,0,19354,82
19448,1606428,19456,2642000,0,19453,94
19552,1606948,19562,2642000,0,19558,93
19653,1606928,19665,2154000,0,19662,81
19753,1606928,19763,2154000,0,19758,82
19853,1606928,19870,2154000,0,19868,83
19954,1606600,19962,2154000,0,19960,85
20054,1606556,20062,2154000,0,20059,77
20154,1606928,20163,2154000,0,20160,84
20255,1605840,20262,2154000,0,20260,86
20355,1605996,20363,2154000,0,20360,87
20458,1605872,20466,2154000,0,20463,85
20509,1605748,20516,2154000,0,20513,91
20609,1606320,20617,2990000,295600,20614,97
20710,1606496,20719,2990000,295600,20714,100
20810,1606604,20817,2990000,295600,20815,100
20910,1606728,20917,2990000,295600,20915,100
21010,1606728,21018,2990000,295600,21015,88
21111,1606712,21120,2990000,295600,21117,84
21211,1606652,21220,2990000,295600,21217,61
21312,1606528,21322,2990000,295600,21318,63
21412,1606404,21421,2990000,295600,21418,66
21513,1606308,21527,2990000,295600,21520,61
21613,1606040,21622,2353000,0,21619,63
21724,1606276,21734,2353000,0,21731,67
21824,1606496,21835,2353000,0,21832,75
21924,1606092,21942,2353000,0,21938,61
22025,1606092,22034,2353000,0,22032,64
22125,1606212,22137,2353000,0,22135,62
22225,1606292,22238,2353000,0,22231,74
22326,1606320,22344,2353000,0,22339,80
22426,1605688,22436,2353000,0,22432,79
22527,1605704,22542,2353000,0,22532,82
22627,1605700,22637,2089000,0,22633,78
22728,1605920,22735,2089000,0,22733,76
22828,1606292,22836,2089000,0,22833,85
22929,1606652,22939,2089000,0,22936,95
23029,1605928,23037,2089000,0,23034,88
23130,1606160,23150,2089000,0,23138,78
23230,1606364,23238,2089000,0,23235,67
23331,1606116,23339,2089000,0,23336,64
23431,1606240,23440,2089000,0,23437,67
23532,1606240,23541,2089000,0,23538,64
23633,1606240,23644,2351000,0,23639,63
23733,1606224,23742,2351000,0,23739,63
23834,1606112,23843,2351000,0,23840,64
23934,1606112,23943,2351000,0,23940,62
24035,1606732,24045,2351000,0,24040,69
24135,1606812,24147,2351000,0,24143,71
24236,1606456,24247,2351000,0,24242,77
24336,1606480,24346,2351000,0,24343,83
24440,1605984,24448,2351000,0,24446,79
24540,1605972,24548,2351000,0,24546,76
24640,1605972,24648,2001000,0,24645,80
24741,1605972,24748,2001000,0,24745,80
24842,1605972,24854,2001000,0,24850,83
24943,1606312,24952,2001000,0,24948,85
25046,1606548,25055,2001000,0,25052,83
25146,1606516,25154,2001000,0,25151,85
25247,1606860,25259,2001000,0,25252,93
25347,1606620,25355,2001000,0,25352,100
25447,1606404,25455,2001000,0,25452,92
25548,1606516,25556,2001000,0,25553,84
25648,1606628,25657,3014000,319600,25654,85
25749,1606564,25757,3014000,319600,25755,81
25849,1605832,25860,3014000,319600,25854,87
25950,1606068,25959,3014000,319600,25956,86
26051,1606300,26058,3014000,319600,26055,85
26152,1606364,26161,3014000,319600,26158,79
26252,1606584,26260,3014000,319600,26257,63
26352,1606720,26362,3014000,319600,26359,67
26504,1606968,26514,3014000,319600,26509,69
26604,1607080,26613,3014000,319600,26610,67
26704,1606976,26713,2491000,0,26710,62
26805,1606988,26817,2491000,0,26814,64
26906,1606988,26914,2491000,0,26911,71
27006,1606988,27026,2491000,0,27014,63
27106,1606880,27115,2491000,0,27112,63
27207,1606824,27218,2491000,0,27215,74
27307,1606452,27317,2491000,0,27314,72
27357,1606576,27370,2491000,0,27367,80
27458,1606700,27482,2491000,0,27477,75
27558,1607000,27570,2491000,0,27567,78
27658,1607396,27673,2033000,0,27670,86
27759,1607424,27769,2033000,0,27767,94
27859,1607536,27869,2033000,0,27866,87
27959,1607340,27969,2033000,0,27966,87
28060,1606784,28070,2033000,0,28068,80
28161,1606468,28179,2033000,0,28174,76
28261,1606104,28274,2033000,0,28270,67
28361,1606484,28375,2033000,0,28372,67
28462,1606732,28472,2033000,0,28467,63
28562,1606856,28575,2033000,0,28569,64
28662,1606360,28673,2370000,0,28669,67
28763,1606352,28771,2370000,0,28768,64
28863,1606728,28874,2370000,0,28869,70
28964,1606956,28973,2370000,0,28970,75
29064,1606680,29073,2370000,0,29070,63
29165,1606640,29175,2370000,0,29172,65
29265,1606640,29273,2370000,0,29270,79
29365,1606640,29374,2370000,0,29371,73
