09-02 16:32:10.851  6019  6166 I ndroid.calenda: Explicit concurrent copying GC freed 31538(2MB) AllocSpace objects, 1(20KB) LOS objects, 24% free, 3MB/4MB, paused 47us total 29.660ms
09-02 16:32:11.022  6019  6166 I ndroid.calenda: Explicit concurrent copying GC freed 4723(196KB) AllocSpace objects, 1(20KB) LOS objects, 25% free, 3MB/4MB, paused 46us total 29.532ms
09-02 16:32:11.175  6019  6166 I ndroid.calenda: Explicit concurrent copying GC freed 4143(161KB) AllocSpace objects, 1(20KB) LOS objects, 24% free, 3MB/4MB, paused 43us total 28.604ms
