09-02 16:32:03.519  1218  1242 I system_server: Background concurrent copying GC freed 376957(18MB) AllocSpace objects, 145(5MB) LOS objects, 39% free, 36MB/60MB, paused 71us total 106.130ms
09-02 16:32:04.602  5789  5803 I ndroid.calenda: Explicit concurrent copying GC freed 14730(1042KB) AllocSpace objects, 1(20KB) LOS objects, 24% free, 3MB/4MB, paused 46us total 29.747ms
09-02 16:32:04.762  5789  5803 I ndroid.calenda: Explicit concurrent copying GC freed 4186(161KB) AllocSpace objects, 1(20KB) LOS objects, 25% free, 3MB/4MB, paused 50us total 29.359ms
